ells,power
54.577201636025165, 6.237983405373851
57.78402837226372, 6.779485154929292
62.59426847662144, 7.185611467095873
69.80962863315807, 7.741048923441343
79.43010884187362, 8.475659752801482
89.05058905058911, 9.031097209146953
119.78267860620804, 9.419306184012065
134.74787004198777, 10.300784884282713
125.12738983327222, 9.765708038507091
198.8844047667577, 10.574974439956673
260.4153927683341, 10.574227884235778
277.6807188571895, 10.152210600295874
331.00566629978414, 10.023717695648212
371.652195181607, 9.53726198791339
416.1469161469163, 9.075293307823905
496.8902321843499, 8.306724858244795
550.4327857269035, 7.8799082875277096
639.1359038417863, 7.331509785122103
684.3178019648609, 7.054964215939344
733.8899985958809, 6.819965065128901
800.6988889341832, 6.265854818953911
867.1069259304555, 6.159843906586899
928.4374872610168, 5.680555133772662
990.9706086176676, 5.6140050237957855
1098.719986955281, 5.067782198062497
1156.1221855339504, 4.925538448041408
1216.0898455016104, 4.764979197667708
1337.3078961314259, 4.423355299786408
1399.3065463653702, 4.440277229460017
1454.5574986751458, 4.26060615263142
1496.732996732997, 4.121746788545051
1555.830232300821, 3.835069391721582
1618.4397066750012, 3.968454013854725
1685.0195379607148, 3.719886509069296
1758.8598470951415, 3.639607530251036
1879.9029799029804, 3.5412250599775277
1927.3640155993103, 3.3483150616984023
1992.4625983449519, 3.3799690242643265
1270.2702702702704, 4.6644295302013425
1815.3153153153157, 3.5570469798657722
